id_date;date;month;quarter;week;weekday;day
247;2022-09-19;9;3;38;0;19
180;2022-07-07;7;3;27;3;7
137;2022-05-24;5;2;21;1;24
77;2022-03-19;3;1;11;5;19
39;2022-02-09;2;1;6;2;9
34;2022-02-04;2;1;5;4;4
315;2022-12-03;12;4;48;5;3
124;2022-05-09;5;2;19;0;9
306;2022-11-24;11;4;47;3;24
156;2022-06-12;6;2;23;6;12
42;2022-02-12;2;1;6;5;12
70;2022-03-12;3;1;10;5;12
195;2022-07-24;7;3;29;6;24
214;2022-08-13;8;3;32;5;13
329;2022-12-18;12;4;50;6;18
252;2022-09-25;9;3;38;6;25
242;2022-09-13;9;3;37;1;13
274;2022-10-19;10;4;42;2;19
151;2022-06-07;6;2;23;1;7
207;2022-08-06;8;3;31;5;6
168;2022-06-25;6;2;25;5;25
75;2022-03-17;3;1;11;3;17
36;2022-02-06;2;1;5;6;6
263;2022-10-08;10;4;40;5;8
227;2022-08-27;8;3;34;5;27
61;2022-03-03;3;1;9;3;3
270;2022-10-15;10;4;41;5;15
73;2022-03-15;3;1;11;1;15
71;2022-03-13;3;1;10;6;13
52;2022-02-22;2;1;8;1;22
33;2022-02-03;2;1;5;3;3
211;2022-08-10;8;3;32;2;10
268;2022-10-13;10;4;41;3;13
282;2022-10-28;10;4;43;4;28
48;2022-02-18;2;1;7;4;18
157;2022-06-13;6;2;24;0;13
96;2022-04-09;4;2;14;5;9
81;2022-03-23;3;1;12;2;23
108;2022-04-21;4;2;16;3;21
188;2022-07-17;7;3;28;6;17
327;2022-12-16;12;4;50;4;16
258;2022-10-02;10;4;39;6;2
154;2022-06-10;6;2;23;4;10
305;2022-11-23;11;4;47;2;23
57;2022-02-27;2;1;8;6;27
335;2022-12-24;12;4;51;5;24
323;2022-12-11;12;4;49;6;11
273;2022-10-18;10;4;42;1;18
45;2022-02-15;2;1;7;1;15
25;2022-01-26;1;1;4;2;26
78;2022-03-20;3;1;11;6;20
140;2022-05-27;5;2;21;4;27
288;2022-11-03;11;4;44;3;3
286;2022-11-01;11;4;44;1;1
233;2022-09-03;9;3;35;5;3
176;2022-07-03;7;3;26;6;3
76;2022-03-18;3;1;11;4;18
91;2022-04-03;4;2;13;6;3
265;2022-10-10;10;4;41;0;10
122;2022-05-07;5;2;18;5;7
64;2022-03-06;3;1;9;6;6
167;2022-06-24;6;2;25;4;24
300;2022-11-17;11;4;46;3;17
55;2022-02-25;2;1;8;4;25
123;2022-05-08;5;2;18;6;8
294;2022-11-10;11;4;45;3;10
193;2022-07-22;7;3;29;4;22
153;2022-06-09;6;2;23;3;9
9;2022-01-09;1;1;1;6;9
275;2022-10-20;10;4;42;3;20
6;2022-01-06;1;1;1;3;6
160;2022-06-17;6;2;24;4;17
129;2022-05-14;5;2;19;5;14
88;2022-03-31;3;1;13;3;31
128;2022-05-13;5;2;19;4;13
158;2022-06-14;6;2;24;1;14
303;2022-11-21;11;4;47;0;21
307;2022-11-25;11;4;47;4;25
312;2022-11-30;11;4;48;2;30
338;2022-12-27;12;4;52;1;27
215;2022-08-14;8;3;32;6;14
49;2022-02-19;2;1;7;5;19
259;2022-10-04;10;4;40;1;4
290;2022-11-05;11;4;44;5;5
177;2022-07-04;7;3;27;0;4
201;2022-07-30;7;3;30;5;30
219;2022-08-19;8;3;33;4;19
50;2022-02-20;2;1;7;6;20
62;2022-03-04;3;1;9;4;4
175;2022-07-02;7;3;26;5;2
56;2022-02-26;2;1;8;5;26
63;2022-03-05;3;1;9;5;5
146;2022-06-02;6;2;22;3;2
309;2022-11-27;11;4;47;6;27
292;2022-11-08;11;4;45;1;8
241;2022-09-12;9;3;37;0;12
319;2022-12-07;12;4;49;2;7
293;2022-11-09;11;4;45;2;9
142;2022-05-29;5;2;21;6;29
235;2022-09-05;9;3;36;0;5
269;2022-10-14;10;4;41;4;14
208;2022-08-07;8;3;31;6;7
15;2022-01-16;1;1;2;6;16
279;2022-10-25;10;4;43;1;25
104;2022-04-17;4;2;15;6;17
162;2022-06-19;6;2;24;6;19
296;2022-11-12;11;4;45;5;12
198;2022-07-27;7;3;30;2;27
187;2022-07-16;7;3;28;5;16
89;2022-04-01;4;2;13;4;1
230;2022-08-30;8;3;35;1;30
7;2022-01-07;1;1;1;4;7
223;2022-08-23;8;3;34;1;23
5;2022-01-05;1;1;1;2;5
131;2022-05-16;5;2;20;0;16
254;2022-09-27;9;3;39;1;27
301;2022-11-19;11;4;46;5;19
217;2022-08-16;8;3;33;1;16
107;2022-04-20;4;2;16;2;20
119;2022-05-02;5;2;18;0;2
253;2022-09-26;9;3;39;0;26
310;2022-11-28;11;4;48;0;28
165;2022-06-22;6;2;25;2;22
90;2022-04-02;4;2;13;5;2
212;2022-08-11;8;3;32;3;11
267;2022-10-12;10;4;41;2;12
316;2022-12-04;12;4;48;6;4
244;2022-09-16;9;3;37;4;16
32;2022-02-02;2;1;5;2;2
53;2022-02-23;2;1;8;2;23
148;2022-06-04;6;2;22;5;4
264;2022-10-09;10;4;40;6;9
283;2022-10-29;10;4;43;5;29
261;2022-10-06;10;4;40;3;6
287;2022-11-02;11;4;44;2;2
186;2022-07-15;7;3;28;4;15
280;2022-10-26;10;4;43;2;26
100;2022-04-13;4;2;15;2;13
67;2022-03-09;3;1;10;2;9
206;2022-08-05;8;3;31;4;5
155;2022-06-11;6;2;23;5;11
60;2022-03-02;3;1;9;2;2
281;2022-10-27;10;4;43;3;27
97;2022-04-10;4;2;14;6;10
228;2022-08-28;8;3;34;6;28
189;2022-07-18;7;3;29;0;18
82;2022-03-24;3;1;12;3;24
